Key,Neighbors,Metric,Value,Algorithm
721,140,SortingAccuracy,0.570277446,SRA
725,140,F1,0.716212784,SRA
728,145,Degree Diversity,0.668792804,Actual Diversity
729,145,Degree Diversity,0.625383278,SRA
730,145,MAE,0.723690963,SRA
731,145,RMSE,0.921073794,SRA
732,145,HLU,1.504448145,SRA
734,145,SortingAccuracy,0.570189186,SRA
738,145,F1,0.71622484,SRA
741,150,Degree Diversity,0.668792804,Actual Diversity
742,150,Degree Diversity,0.62510389,SRA
743,150,MAE,0.723737216,SRA
744,150,RMSE,0.921136963,SRA
745,150,HLU,1.504643178,SRA
747,150,SortingAccuracy,0.570383547,SRA
751,150,F1,0.716219664,SRA
754,155,Degree Diversity,0.668792804,Actual Diversity
755,155,Degree Diversity,0.625492327,SRA
756,155,MAE,0.723796618,SRA
757,155,RMSE,0.921220469,SRA
758,155,HLU,1.504737148,SRA
760,155,SortingAccuracy,0.57048829,SRA
764,155,F1,0.716229393,SRA
767,160,Degree Diversity,0.668792804,Actual Diversity
768,160,Degree Diversity,0.625129618,SRA
769,160,MAE,0.723861301,SRA
770,160,RMSE,0.921295595,SRA
771,160,HLU,1.506394913,SRA
773,160,SortingAccuracy,0.570489373,SRA
777,160,F1,0.716281701,SRA
780,165,Degree Diversity,0.668792804,Actual Diversity
781,165,Degree Diversity,0.625162654,SRA
782,165,MAE,0.723922741,SRA
783,165,RMSE,0.921365857,SRA
784,165,HLU,1.506268432,SRA
786,165,SortingAccuracy,0.570618164,SRA
790,165,F1,0.716261476,SRA
793,170,Degree Diversity,0.668792804,Actual Diversity
794,170,Degree Diversity,0.625198984,SRA
795,170,MAE,0.723976827,SRA
796,170,RMSE,0.921443307,SRA
797,170,HLU,1.507025789,SRA
799,170,SortingAccuracy,0.570359714,SRA
803,170,F1,0.716107458,SRA
806,175,Degree Diversity,0.668792804,Actual Diversity
807,175,Degree Diversity,0.624872207,SRA
808,175,MAE,0.724041891,SRA
809,175,RMSE,0.921523666,SRA
810,175,HLU,1.506076976,SRA
812,175,SortingAccuracy,0.570200047,SRA
816,175,F1,0.71613888,SRA
819,180,Degree Diversity,0.668792804,Actual Diversity
820,180,Degree Diversity,0.625049969,SRA
821,180,MAE,0.724091864,SRA
822,180,RMSE,0.921593225,SRA
823,180,HLU,1.505929658,SRA
825,180,SortingAccuracy,0.570035217,SRA
829,180,F1,0.716216154,SRA
832,185,Degree Diversity,0.668792804,Actual Diversity
833,185,Degree Diversity,0.624938806,SRA
834,185,MAE,0.724158227,SRA
835,185,RMSE,0.921676695,SRA
836,185,HLU,1.506310976,SRA
838,185,SortingAccuracy,0.570012228,SRA
842,185,F1,0.716161619,SRA
845,190,Degree Diversity,0.668792804,Actual Diversity
846,190,Degree Diversity,0.624840084,SRA
847,190,MAE,0.724228346,SRA
848,190,RMSE,0.921767116,SRA
849,190,HLU,1.505915011,SRA
851,190,SortingAccuracy,0.570044216,SRA
855,190,F1,0.716195443,SRA
858,195,Degree Diversity,0.668792804,Actual Diversity
859,195,Degree Diversity,0.624839172,SRA
860,195,MAE,0.724304199,SRA
861,195,RMSE,0.921862078,SRA
862,195,HLU,1.507042571,SRA
864,195,SortingAccuracy,0.569967059,SRA
868,195,F1,0.71620454,SRA
871,200,Degree Diversity,0.668792804,Actual Diversity
872,200,Degree Diversity,0.624479942,SRA
873,200,MAE,0.724366653,SRA
874,200,RMSE,0.921945012,SRA
875,200,HLU,1.506944094,SRA
877,200,SortingAccuracy,0.569976199,SRA
881,200,F1,0.716170122,SRA
884,1,Degree Diversity,0.618482481,FPLV-C
885,1,MAE,0.728563797,FPLV-C
886,1,RMSE,0.925570011,FPLV-C
887,1,HLU,1.500927825,FPLV-C
889,1,SortingAccuracy,0.571699245,FPLV-C
893,1,F1,0.71057651,FPLV-C
896,2,Degree Diversity,0.618482481,FPLV-C
897,2,MAE,0.728563797,FPLV-C
898,2,RMSE,0.925570011,FPLV-C
899,2,HLU,1.500927825,FPLV-C
901,2,SortingAccuracy,0.571699245,FPLV-C
905,2,F1,0.71057651,FPLV-C
908,3,Degree Diversity,0.618482481,FPLV-C
909,3,MAE,0.728563797,FPLV-C
910,3,RMSE,0.925570011,FPLV-C
911,3,HLU,1.500927825,FPLV-C
913,3,SortingAccuracy,0.571699245,FPLV-C
917,3,F1,0.71057651,FPLV-C
920,4,Degree Diversity,0.618482481,FPLV-C
921,4,MAE,0.728563797,FPLV-C
